연도,직종,회차,성별,연령대,응시지역,졸업여부,합격여부
2002,의사,66,남,20,부산광역시,졸업,합격
2002,의사,66,남,20,부산광역시,졸업,합격
2002,의사,66,남,30,부산광역시,졸업,합격
2002,의사,66,남,30,부산광역시,졸업,합격
2002,의사,66,남,20,부산광역시,졸업,합격
2002,의사,66,남,20,부산광역시,졸업,합격
2002,의사,66,남,30,부산광역시,졸업,합격
2002,의사,66,여,20,부산광역시,졸업,합격
2002,의사,66,남,30,부산광역시,졸업,합격
2002,의사,66,여,20,부산광역시,졸업,합격
2002,의사,66,남,20,부산광역시,졸업,합격
2002,의사,66,남,20,부산광역시,졸업,합격
2002,의사,66,남,20,부산광역시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,여,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,여,30,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,여,20,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,여,20,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,40,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
2002,의사,66,남,30,서울특별시,졸업,합격
2002,의사,66,남,20,서울특별시,졸업,합격
